# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0
# for k=1.02819e-05 to 100.188 h/Mpc,
# number of wavenumbers equal to 4849
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       1.298149682921e-05      -2.249182725791e-07      -1.040566090850e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.174760625586e+01 
       1.301891440296e-05      -2.268464768349e-07      -1.049490273416e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.191970444871e+01 
       1.305643982827e-05      -2.287933984917e-07      -1.058490972547e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.209228114531e+01 
       1.309407341602e-05      -2.307552940692e-07      -1.067568724756e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.226533071015e+01 
       1.313181547797e-05      -2.327324755242e-07      -1.076724544613e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.243887506799e+01 
       1.316966632680e-05      -2.347277504668e-07      -1.085958806165e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.261289841818e+01 
       1.320762627606e-05      -2.367414308537e-07      -1.095272258335e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.278740651699e+01 
       1.324569564021e-05      -2.387735166849e-07      -1.104665606058e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.296240218776e+01 
       1.328387473465e-05      -2.408205764368e-07      -1.114139517696e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.313788582115e+01 
       1.332216387565e-05      -2.428860416330e-07      -1.123694467514e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.331384656628e+01 
       1.336056338040e-05      -2.449699122735e-07      -1.133331718967e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.349031773549e+01 
       1.339907356702e-05      -2.470690687915e-07      -1.143051465933e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.366727200615e+01 
       1.343769475453e-05      -2.491894383638e-07      -1.152854334456e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.384470631371e+01 
       1.347642726289e-05      -2.513247818570e-07      -1.162741508260e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.402264807296e+01 
       1.351527141295e-05      -2.534816503612e-07      -1.172713489850e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.420108647783e+01 
       1.355422752652e-05      -2.556538047429e-07      -1.182771252602e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.438003629692e+01 
       1.359329592630e-05      -2.578471721790e-07      -1.192914744616e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.455945617072e+01 
       1.363247693597e-05      -2.600589450594e-07      -1.203145758653e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.473940464198e+01 
       1.367177088009e-05      -2.622891233841e-07      -1.213464213717e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.491983836622e+01 
       1.371117808419e-05      -2.645373951964e-07      -1.223870663573e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.510074844850e+01 
       1.375069887472e-05      -2.668068800631e-07      -1.234366889229e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.528219080146e+01 
       1.379033357909e-05      -2.690947703741e-07      -1.244953628551e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.546416490080e+01 
       1.383008252564e-05      -2.714038737395e-07      -1.255630682808e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.564662095490e+01 
       1.386994604366e-05      -2.737313825492e-07      -1.266399286227e-08      -3.430824726820e-07       6.092903959143e-16      -3.430000000000e-07      -3.430824726820e-07       3.430824726820e-07      -3.430000000000e-07       6.582958448977e+01 
