#  k              avgk        avgP-pSN       s_avgP       SN
# 
4.241150e-01 4.241299e-01 4.023746e+00 3.193399e-02 2.324421e+01
4.272566e-01 4.272653e-01 3.966030e+00 2.747972e-02 2.324421e+01
4.303982e-01 4.304221e-01 3.927800e+00 2.102336e-02 2.324421e+01
4.335398e-01 4.335700e-01 3.830001e+00 2.684824e-02 2.324421e+01
4.366814e-01 4.366977e-01 3.812648e+00 4.167984e-02 2.324421e+01
4.398230e-01 4.398326e-01 3.737451e+00 1.893790e-02 2.324421e+01
4.429646e-01 4.429785e-01 3.709031e+00 2.170225e-02 2.324421e+01
4.461062e-01 4.461270e-01 3.724439e+00 2.598991e-02 2.324421e+01
4.492477e-01 4.492612e-01 3.661243e+00 2.160686e-02 2.324421e+01
4.523893e-01 4.523875e-01 3.570195e+00 2.705709e-02 2.324421e+01
4.555309e-01 4.555308e-01 3.545575e+00 1.379164e-02 2.324421e+01
4.586725e-01 4.586829e-01 3.535390e+00 2.101065e-02 2.324421e+01
4.618141e-01 4.618286e-01 3.476001e+00 2.182320e-02 2.324421e+01
4.649557e-01 4.649727e-01 3.413649e+00 2.502011e-02 2.324421e+01
4.680973e-01 4.681226e-01 3.388402e+00 2.291613e-02 2.324421e+01
4.712389e-01 4.712698e-01 3.351091e+00 1.456800e-02 2.324421e+01
4.743805e-01 4.744061e-01 3.322774e+00 2.745528e-02 2.324421e+01
4.775221e-01 4.775360e-01 3.280586e+00 1.586814e-02 2.324421e+01
4.806637e-01 4.806779e-01 3.225827e+00 1.372997e-02 2.324421e+01
4.838053e-01 4.838277e-01 3.184409e+00 2.353223e-02 2.324421e+01
4.869469e-01 4.869663e-01 3.142470e+00 1.573671e-02 2.324421e+01
4.900885e-01 4.900998e-01 3.081616e+00 2.262905e-02 2.324421e+01
4.932300e-01 4.932447e-01 3.092114e+00 9.725266e-03 2.324421e+01
4.963716e-01 4.963900e-01 3.055371e+00 2.082180e-02 2.324421e+01
4.995132e-01 4.995184e-01 3.022333e+00 2.049514e-02 2.324421e+01
5.026548e-01 5.026554e-01 2.995949e+00 1.566880e-02 2.324421e+01
5.057964e-01 5.058132e-01 2.948694e+00 2.571379e-02 2.324421e+01
5.089380e-01 5.089592e-01 2.933629e+00 1.779042e-02 2.324421e+01
5.120796e-01 5.120992e-01 2.894789e+00 2.031820e-02 2.324421e+01
5.152212e-01 5.152366e-01 2.856387e+00 1.864556e-02 2.324421e+01
5.183628e-01 5.183792e-01 2.839087e+00 2.091469e-02 2.324421e+01
5.215044e-01 5.215170e-01 2.797547e+00 2.287803e-02 2.324421e+01
5.246460e-01 5.246512e-01 2.765701e+00 2.436594e-02 2.324421e+01
5.277876e-01 5.277969e-01 2.715900e+00 2.197981e-02 2.324421e+01
5.309292e-01 5.309361e-01 2.755077e+00 2.094451e-02 2.324421e+01
5.340708e-01 5.340894e-01 2.660240e+00 2.891162e-02 2.324421e+01
5.372123e-01 5.372354e-01 2.659815e+00 1.469679e-02 2.324421e+01
5.403539e-01 5.403689e-01 2.622801e+00 2.352305e-02 2.324421e+01
5.434955e-01 5.435106e-01 2.628695e+00 1.540841e-02 2.324421e+01
5.466371e-01 5.466576e-01 2.597594e+00 1.580074e-02 2.324421e+01
5.497787e-01 5.497943e-01 2.576973e+00 1.483508e-02 2.324421e+01
5.529203e-01 5.529241e-01 2.520380e+00 2.129471e-02 2.324421e+01
5.560619e-01 5.560675e-01 2.484396e+00 1.701716e-02 2.324421e+01
5.592035e-01 5.592146e-01 2.475261e+00 1.473145e-02 2.324421e+01
5.623451e-01 5.623582e-01 2.437607e+00 1.641078e-02 2.324421e+01
5.654867e-01 5.654984e-01 2.414080e+00 1.567764e-02 2.324421e+01
5.686283e-01 5.686426e-01 2.417214e+00 1.709790e-02 2.324421e+01
5.717699e-01 5.717860e-01 2.327232e+00 1.710870e-02 2.324421e+01
5.749115e-01 5.749242e-01 2.338322e+00 2.552352e-02 2.324421e+01
5.780530e-01 5.780656e-01 2.298324e+00 2.619197e-02 2.324421e+01
5.811946e-01 5.812101e-01 2.317882e+00 1.317609e-02 2.324421e+01
5.843362e-01 5.843531e-01 2.297327e+00 2.240761e-02 2.324421e+01
5.874778e-01 5.874948e-01 2.234589e+00 1.432263e-02 2.324421e+01
5.906194e-01 5.906374e-01 2.213032e+00 2.184237e-02 2.324421e+01
5.937610e-01 5.937817e-01 2.226246e+00 2.270029e-02 2.324421e+01
5.969026e-01 5.969120e-01 2.204428e+00 2.522894e-02 2.324421e+01
6.000442e-01 6.000472e-01 2.155461e+00 1.409591e-02 2.324421e+01
6.031858e-01 6.031927e-01 2.120790e+00 2.266763e-02 2.324421e+01
6.063274e-01 6.063293e-01 2.126218e+00 9.178551e-03 2.324421e+01
6.094690e-01 6.094754e-01 2.125617e+00 1.648594e-02 2.324421e+01
6.126106e-01 6.126208e-01 2.100907e+00 1.089889e-02 2.324421e+01
6.157522e-01 6.157665e-01 2.050990e+00 8.257664e-03 2.324421e+01
